fare_id,route_id,origin_id,destination_id,contains_id
CT_COMMUTER,1_3425,3,4,
CT_LOCAL,1_3425,1,1,
CT_LOCAL,1_3424,1,3,
CT_LOCAL,1_3424,3,3,
CT_COMMUTER,1_3424,4,4,
CT_NE_COMMUTER,1_3424,1,4,
CT_COMMUTER,1_3424,3,4,
CT_LOCAL,1_3424,1,1,
CT_LOCAL,1_3422,1,3,
CT_LOCAL,1_3422,3,3,
CT_COMMUTER,1_3422,4,4,
CT_NE_COMMUTER,1_3422,1,4,
CT_COMMUTER,1_3422,3,4,
CT_LOCAL,1_3422,1,1,
CT_LOCAL,1_3421,1,3,
CT_LOCAL,1_3421,3,3,
CT_COMMUTER,1_3421,4,4,
CT_NE_COMMUTER,1_3421,1,4,
CT_COMMUTER,1_3421,3,4,
CT_LOCAL,1_3421,1,1,
CT_LOCAL,1_3417,3,3,
CT_COMMUTER,1_3417,4,4,
CT_LOCAL,1_3417,2,3,
CT_LOCAL,1_3417,2,2,
CT_COMMUTER,1_3417,3,4,
CT_COMMUTER,1_3417,2,4,
CT_LOCAL,1_3416,3,2,
CT_LOCAL,1_3416,3,3,
CT_COMMUTER,1_3416,4,4,
CT_LOCAL,1_3416,2,3,
CT_LOCAL,1_3416,2,2,
CT_COMMUTER,1_3416,3,4,
CT_COMMUTER,1_3416,2,4,
CT_LOCAL,1_3415,3,3,
CT_COMMUTER,1_3415,4,4,
CT_LOCAL,1_3415,2,3,
CT_LOCAL,1_3415,2,2,
CT_COMMUTER,1_3415,3,4,
CT_COMMUTER,1_3415,2,4,
CT_LOCAL,1_3414,3,3,
CT_COMMUTER,1_3414,4,4,
CT_LOCAL,1_3414,2,3,
CT_LOCAL,1_3414,2,2,
CT_COMMUTER,1_3414,3,4,
CT_COMMUTER,1_3414,2,4,
CT_LOCAL,1_3413,3,3,
CT_COMMUTER,1_3413,4,4,
CT_LOCAL,1_3413,2,3,
CT_LOCAL,1_3413,2,2,
CT_COMMUTER,1_3413,3,4,
CT_COMMUTER,1_3413,2,4,
CT_LOCAL,1_3412,3,3,
CT_COMMUTER,1_3412,4,4,
CT_LOCAL,1_3412,2,3,
CT_LOCAL,1_3412,2,2,
CT_COMMUTER,1_3412,3,4,
CT_COMMUTER,1_3412,2,4,
CT_LOCAL,1_3411,3,3,
CT_COMMUTER,1_3411,4,4,
CT_LOCAL,1_3411,2,3,
CT_LOCAL,1_3411,2,2,
CT_COMMUTER,1_3411,3,4,
CT_COMMUTER,1_3411,2,4,
CT_LOCAL,1_3410,3,3,
CT_COMMUTER,1_3410,4,4,
CT_LOCAL,1_3410,2,3,
CT_LOCAL,1_3410,2,2,
CT_COMMUTER,1_3410,3,4,
CT_COMMUTER,1_3410,2,4,
CT_LOCAL,1_3408,3,3,
CT_COMMUTER,1_3408,4,4,
CT_LOCAL,1_3408,2,3,
CT_LOCAL,1_3408,2,2,
CT_COMMUTER,1_3408,3,4,
CT_COMMUTER,1_3408,2,4,
CT_LOCAL,1_3406,3,3,
CT_COMMUTER,1_3406,4,4,
CT_LOCAL,1_3406,2,3,
CT_LOCAL,1_3406,2,2,
CT_COMMUTER,1_3406,3,4,
CT_COMMUTER,1_3406,2,4,
CT_LOCAL,1_3402,3,3,
CT_COMMUTER,1_3402,4,4,
CT_LOCAL,1_3402,2,3,
CT_LOCAL,1_3402,2,2,
CT_COMMUTER,1_3402,3,4,
CT_COMMUTER,1_3402,2,4,
CT_LOCAL,1_3401,3,3,
CT_COMMUTER,1_3401,4,4,
